 BCID  ToA     nTC  TC_sent  TC_id  Eta              Phi            pT_thr  Charge  Coincidence  z_RPC0  z_RPC1  z_RPC2  z_RPC3  event  
 3828  124640  1    1        0      0.54063564539    768.057861328  20      1       5            2901    3892    4263    5649    11127  
 3837  124928  1    1        0      0.671371817589   945.569824219  20      1       5            3687    4901    5409    7207    1306   
 3856  125536  1    1        0      0.359122365713   567.930419922  20      0       5            1870    2510    2737    3578    20450  
 3862  125728  1    1        0      0.187829703093   660.359191895  20      1       5            959     1275    1408    1874    18510  
 3910  127264  1    1        0      0.313532710075   977.632507324  20      1       5            1628    2192    2430    3225    10120  
 3911  127296  1    1        0      0.9198102355     668.804504395  20      1       5            5387    7275    8065    10775   8891   
 3911  127296  1    1        0      1.0377907753     923.442749023  20      0       3            6288    0       9263    12062   479    
 3912  127328  1    1        0      0.98469388485    555.146789551  20      1       2            5873    7852    0       11426   23821  
 3916  127456  1    1        0      0.747605621815   746.416870117  20      1       5            4181    5600    6129    8087    17232  
 3918  127520  1    1        0      0.81734585762    759.379821777  20      1       5            4659    6246    6820    9081    8072   
 3928  127840  1    1        0      0.955016314983   833.07043457   20      1       5            5644    7555    8352    11040   3497   
 3965  129024  1    1        0      0.82603687048    563.84942627   20      1       2            4711    6320    0       9200    19497  
 3975  129344  1    1        0      0.272522032261   794.063171387  20      0       5            1415    1900    2086    2732    4065   
 3988  129760  1    1        0      0.638385653496   652.880737305  20      0       5            3489    4636    5099    6748    21218  
 3999  130112  1    1        0      0.342649877071   720.531494141  20      1       5            1775    2377    2616    3459    17179  
 4031  131136  1    1        0      0.649891614914   717.085327148  20      0       5            3555    4742    5205    6816    5476   
